timestamp,runtime_sec,total_biomass,t0,t1,t2,t3,t4,deep_archive,lambda,phi_diff
2026-02-11T00:07:02+01:00,665,301500,301500,0,0,0,0,0,0.001112,1.6180
2026-02-11T00:07:07+01:00,670,303500,303500,0,0,0,0,0,0.009756,1.6180
2026-02-11T00:07:12+01:00,675,305500,305500,0,0,0,0,0,0.001700,1.6180
2026-02-11T00:07:17+01:00,680,307500,307500,0,0,0,0,0,0.012064,1.6180
2026-02-11T00:07:22+01:00,685,309500,309500,0,0,0,0,0,0.002299,1.6180
2026-02-11T00:07:27+01:00,690,311500,311500,0,0,0,0,0,0.014197,1.6180
2026-02-11T00:07:32+01:00,695,313500,313500,0,0,0,0,0,0.002713,1.6180
2026-02-11T00:07:37+01:00,700,315500,315500,0,0,0,0,0,0.016475,1.6180
2026-02-11T00:07:42+01:00,705,317500,317500,0,0,0,0,0,0.003262,1.6180
2026-02-11T00:07:47+01:00,710,319500,319500,0,0,0,0,0,0.018746,1.6180
2026-02-11T00:07:52+01:00,715,321500,321500,0,0,0,0,0,0.003578,1.6180
2026-02-11T00:07:57+01:00,720,323500,323500,0,0,0,0,0,0.020792,1.6180
2026-02-11T00:08:02+01:00,725,325500,325500,0,0,0,0,0,0.004095,1.6180
2026-02-11T00:08:07+01:00,730,327500,327500,0,0,0,0,0,0.022765,1.6180
2026-02-11T00:08:12+01:00,735,329500,329500,0,0,0,0,0,0.004295,1.6180
2026-02-11T00:08:17+01:00,740,331500,331500,0,0,0,0,0,0.024901,1.6180
2026-02-11T00:08:22+01:00,745,333500,333500,0,0,0,0,0,0.034562,1.6180
2026-02-11T00:08:27+01:00,750,335500,335500,0,0,0,0,0,0.079286,1.6180
2026-02-11T00:08:32+01:00,755,337500,337500,0,0,0,0,0,0.125097,1.6180
2026-02-11T00:08:37+01:00,760,339500,339500,0,0,0,0,0,0.172988,1.6180
2026-02-11T00:08:42+01:00,765,341500,341500,0,0,0,0,0,0.223033,1.6180
2026-02-11T00:08:47+01:00,770,343500,343500,0,0,0,0,0,0.273961,1.6180
2026-02-11T00:08:52+01:00,775,345500,345500,0,0,0,0,0,0.326613,1.6180
2026-02-11T00:08:57+01:00,780,347500,347500,0,0,0,0,0,0.381899,1.6180
2026-02-11T00:09:02+01:00,785,349500,349500,0,0,0,0,0,0.437862,1.6180
2026-02-11T00:09:07+01:00,790,351500,351500,0,0,0,0,0,0.496552,1.6180
2026-02-11T00:09:12+01:00,795,353505,352663,842,0,0,0,0,0.547341,1.6156
2026-02-11T00:09:17+01:00,800,355505,353595,1910,0,0,0,0,0.616831,1.6126
2026-02-11T00:09:22+01:00,805,357506,353570,3936,0,0,0,0,0.666017,1.6069
2026-02-11T00:09:27+01:00,810,359504,353592,5912,0,0,0,0,0.718785,1.6013
2026-02-11T00:09:32+01:00,815,361504,353500,8004,0,0,0,0,0.756421,1.5954
2026-02-11T00:09:37+01:00,820,363505,353512,9993,0,0,0,0,0.812660,1.5898
2026-02-11T00:09:42+01:00,825,365504,353483,12021,0,0,0,0,0.808702,1.5840
2026-02-11T00:09:47+01:00,830,367506,353653,13853,0,0,0,0,0.839327,1.5789
2026-02-11T00:09:52+01:00,835,369505,353572,15933,0,0,0,0,0.839040,1.5730
2026-02-11T00:09:57+01:00,840,371504,353635,17869,0,0,0,0,0.839689,1.5675
2026-02-11T00:10:02+01:00,845,373504,353526,19978,0,0,0,0,0.840010,1.5615
2026-02-11T00:10:07+01:00,850,375504,353682,21822,0,0,0,0,0.837237,1.5563
2026-02-11T00:10:12+01:00,855,377506,353641,23865,0,0,0,0,0.839121,1.5506
2026-02-11T00:10:17+01:00,860,379504,353576,25928,0,0,0,0,0.838235,1.5447
2026-02-11T00:10:22+01:00,865,381505,353561,27944,0,0,0,0,0.840925,1.5390
2026-02-11T00:10:27+01:00,870,383506,353573,29933,0,0,0,0,0.840450,1.5334
2026-02-11T00:10:32+01:00,875,385505,353574,31931,0,0,0,0,0.837538,1.5277
2026-02-11T00:10:37+01:00,880,387505,353592,33913,0,0,0,0,0.840866,1.5221
2026-02-11T00:10:42+01:00,885,389506,353572,35934,0,0,0,0,0.842338,1.5164
2026-02-11T00:10:47+01:00,890,391505,353601,37904,0,0,0,0,0.838119,1.5108
2026-02-11T00:10:52+01:00,895,393505,353606,39899,0,0,0,0,0.841428,1.5052
2026-02-11T00:10:57+01:00,900,395504,353608,41896,0,0,0,0,0.830228,1.4996
2026-02-11T00:11:02+01:00,905,397505,353594,43911,0,0,0,0,0.839267,1.4938
2026-02-11T00:11:07+01:00,910,399505,353657,45848,0,0,0,0,0.838591,1.4884
2026-02-11T00:11:12+01:00,915,401505,353734,47771,0,0,0,0,0.839843,1.4830
2026-02-11T00:11:17+01:00,920,403505,353692,49813,0,0,0,0,0.841917,1.4772
2026-02-11T00:11:22+01:00,925,405506,353670,51836,0,0,0,0,0.838586,1.4715
2026-02-11T00:11:27+01:00,930,407504,353650,53854,0,0,0,0,0.835294,1.4658
2026-02-11T00:11:32+01:00,935,409505,353614,55891,0,0,0,0,0.840490,1.4600
2026-02-11T00:11:37+01:00,940,411506,353630,57876,0,0,0,0,0.839217,1.4544
2026-02-11T00:11:42+01:00,945,413506,353615,59891,0,0,0,0,0.838860,1.4487
2026-02-11T00:11:47+01:00,950,415505,353633,61872,0,0,0,0,0.840967,1.4431
2026-02-11T00:11:52+01:00,955,417504,353658,63846,0,0,0,0,0.840228,1.4375
2026-02-11T00:11:57+01:00,960,419505,353670,65835,0,0,0,0,0.839940,1.4319
2026-02-11T00:12:02+01:00,965,421505,353660,67845,0,0,0,0,0.839013,1.4262
2026-02-11T00:12:07+01:00,970,423505,353671,69834,0,0,0,0,0.839135,1.4206
2026-02-11T00:12:12+01:00,975,425505,353653,71852,0,0,0,0,0.838360,1.4149
2026-02-11T00:12:17+01:00,980,427505,353636,73869,0,0,0,0,0.840177,1.4091
2026-02-11T00:12:22+01:00,985,429505,353644,75861,0,0,0,0,0.839526,1.4035
2026-02-11T00:12:27+01:00,990,431505,353706,77799,0,0,0,0,0.840931,1.3981
2026-02-11T00:12:32+01:00,995,433501,353713,79788,0,0,0,0,0.837207,1.3925
2026-02-11T00:12:37+01:00,1000,435505,353679,81826,0,0,0,0,0.842063,1.3867
2026-02-11T00:12:42+01:00,1005,437505,353675,83830,0,0,0,0,0.838615,1.3810
2026-02-11T00:12:47+01:00,1010,439504,353687,85817,0,0,0,0,0.843046,1.3754
2026-02-11T00:12:52+01:00,1015,441505,353725,87780,0,0,0,0,0.841147,1.3699
2026-02-11T00:12:57+01:00,1020,443505,353826,89679,0,0,0,0,0.837252,1.3646
2026-02-11T00:13:02+01:00,1025,445504,353729,91775,0,0,0,0,0.838963,1.3586
2026-02-11T00:13:07+01:00,1030,447505,353779,93726,0,0,0,0,0.839164,1.3531
2026-02-11T00:13:12+01:00,1035,449503,353913,95590,0,0,0,0,0.839809,1.3479
2026-02-11T00:13:17+01:00,1040,451505,353797,97708,0,0,0,0,0.841850,1.3419
2026-02-11T00:13:22+01:00,1045,453504,353791,99713,0,0,0,0,0.841120,1.3362
2026-02-11T00:13:27+01:00,1050,455504,353782,101722,0,0,0,0,0.839571,1.3305
2026-02-11T00:13:32+01:00,1055,457505,353755,103750,0,0,0,0,0.839388,1.3248
2026-02-11T00:13:37+01:00,1060,459505,353745,105760,0,0,0,0,0.841932,1.3191
2026-02-11T00:13:42+01:00,1065,461505,353778,107727,0,0,0,0,0.840672,1.3135
2026-02-11T00:13:47+01:00,1070,463504,353848,109656,0,0,0,0,0.840014,1.3081
2026-02-11T00:13:52+01:00,1075,465505,353814,111691,0,0,0,0,0.840898,1.3024
2026-02-11T00:13:57+01:00,1080,467505,353804,113701,0,0,0,0,0.840612,1.2967
2026-02-11T00:14:02+01:00,1085,469505,353804,115701,0,0,0,0,0.837481,1.2910
2026-02-11T00:14:07+01:00,1090,471505,353771,117734,0,0,0,0,0.838026,1.2852
2026-02-11T00:14:12+01:00,1095,473503,353788,119715,0,0,0,0,0.840212,1.2797
2026-02-11T00:14:17+01:00,1100,475505,353792,121713,0,0,0,0,0.839172,1.2740
2026-02-11T00:14:22+01:00,1105,477505,353812,123693,0,0,0,0,0.839298,1.2684
2026-02-11T00:14:27+01:00,1110,479504,354221,125283,0,0,0,0,0.838405,1.2643
2026-02-11T00:14:32+01:00,1115,481504,354377,127127,0,0,0,0,0.813863,1.2593
2026-02-11T00:14:37+01:00,1120,483505,354095,129410,0,0,0,0,0.813939,1.2526
2026-02-11T00:14:42+01:00,1125,485505,353825,131680,0,0,0,0,0.840235,1.2459
2026-02-11T00:14:47+01:00,1130,487506,353835,133671,0,0,0,0,0.836639,1.2403
2026-02-11T00:14:52+01:00,1135,489505,353849,135656,0,0,0,0,0.838490,1.2347
2026-02-11T00:14:57+01:00,1140,491505,353809,137696,0,0,0,0,0.841354,1.2289
2026-02-11T00:15:02+01:00,1145,493505,353813,139692,0,0,0,0,0.839659,1.2232
2026-02-11T00:15:07+01:00,1150,495504,353879,141625,0,0,0,0,0.837836,1.2178
2026-02-11T00:15:12+01:00,1155,497504,353860,143644,0,0,0,0,0.839531,1.2121
2026-02-11T00:15:17+01:00,1160,499505,353866,145639,0,0,0,0,0.837603,1.2065
2026-02-11T00:15:22+01:00,1165,501504,353869,147635,0,0,0,0,0.837975,1.2008
2026-02-11T00:15:27+01:00,1170,503505,353850,149655,0,0,0,0,0.839292,1.1951
2026-02-11T00:15:32+01:00,1175,505505,353772,151733,0,0,0,0,0.840351,1.1891
2026-02-11T00:15:37+01:00,1180,507505,353780,153725,0,0,0,0,0.838806,1.1835
2026-02-11T00:15:42+01:00,1185,509503,353787,155716,0,0,0,0,0.838675,1.1779
2026-02-11T00:15:47+01:00,1190,511505,353828,157677,0,0,0,0,0.841232,1.1724
2026-02-11T00:15:52+01:00,1195,513504,353803,159701,0,0,0,0,0.839580,1.1667
2026-02-11T00:15:57+01:00,1200,515505,353821,161684,0,0,0,0,0.840486,1.1611
2026-02-11T00:16:02+01:00,1205,517505,353830,163675,0,0,0,0,0.840684,1.1555
2026-02-11T00:16:07+01:00,1210,519505,353809,165696,0,0,0,0,0.838958,1.1497
2026-02-11T00:16:12+01:00,1215,521506,353819,167687,0,0,0,0,0.839663,1.1441
